date_today,age_years,weight_kg_today,sleep_score_today,sleep_hours_today,sleep_efficiency_pct_today,resting_hr_bpm_today,hrv_ms_today,body_battery_today,stress_score_today,soreness_score_today,vo2max_est_today,respiration_rate_sleep_today,spo2_avg_pct_today,hydration_l_today,yesterday_activity_type,yesterday_duration_min,yesterday_distance_km,yesterday_avg_hr_bpm,yesterday_max_hr_bpm,yesterday_training_rpe,yesterday_training_load,yesterday_steps,yesterday_calories_burned,acute_load_3d,rolling_load_7d,recovery_signal,readiness_score_today,suggested_activity_today,actual_activity_type_today,actual_duration_min_today
2024-01-14,30,97.3,79,6.9,74.1,59,33,69,63,8,43.9,14.9,96.7,3.27,Intermediate Run,55,7.56,141,171,6,430,10480,2992,395.7,319.0,60,45,Rest / Mobility,Easy Run,31
2024-01-15,30,97.0,95,6.81,84.9,59,42,87,49,6,44.0,15.6,98.3,2.73,Easy Run,31,4.16,138,160,4,119,10553,2986,291.3,332.9,72,71,Intermediate Run,Weightlifting,60
2024-01-16,30,96.6,70,7.04,78.8,57,48,51,59,8,44.0,16.8,97.4,2.92,Weightlifting,60,0.0,107,156,8,560,8664,3067,369.7,337.6,59,41,Rest / Mobility,Recovery Ride,44
2024-01-17,30,96.8,82,6.0,77.9,61,33,64,58,6,44.2,15.9,96.5,3.52,Recovery Ride,44,12.98,125,154,5,216,8445,2804,298.3,326.1,61,53,Recovery Walk,Weightlifting,67
2024-01-18,30,97.1,70,6.17,84.8,60,48,49,61,3,44.0,15.5,96.5,2.79,Weightlifting,67,0.0,120,160,7,512,12433,2947,429.3,370.6,61,50,Recovery Walk,Easy Run,46
2024-01-19,30,97.2,95,7.3,72.2,58,37,84,56,5,44.2,15.3,97.2,2.92,Easy Run,46,5.74,127,158,4,174,10681,2694,300.7,333.7,71,70,Intermediate Run,Weightlifting,50
2024-01-20,30,97.4,74,5.62,77.7,59,37,59,60,7,44.2,15.8,96.8,3.45,Weightlifting,50,0.0,126,176,8,488,8264,3245,391.3,357.0,58,44,Rest / Mobility,Intermediate Run,54
2024-01-21,30,97.6,78,6.23,75.7,60,42,66,73,6,44.2,15.5,97.0,3.09,Intermediate Run,54,8.09,146,170,7,492,12865,3096,384.7,365.9,61,51,Recovery Walk,Rest / Mobility,23
2024-01-22,30,97.8,90,6.66,84.6,57,48,79,57,4,44.3,14.7,96.7,3.63,Rest / Mobility,23,0.0,80,104,2,13,8431,2529,331.0,350.7,72,70,Intermediate Run,Weightlifting,58
2024-01-23,30,97.8,75,6.43,74.0,57,50,61,53,7,44.3,15.3,96.7,3.29,Weightlifting,58,0.0,114,148,8,490,11178,3122,331.7,340.7,64,51,Recovery Walk,Intermediate Run,58
2024-01-24,30,97.8,67,6.57,71.3,57,41,59,73,8,44.2,15.6,96.6,2.84,Intermediate Run,58,6.99,146,178,5,352,11621,2866,285.0,360.1,57,44,Rest / Mobility,Weightlifting,59
2024-01-25,30,97.9,75,6.73,86.2,59,48,58,61,8,44.3,15.2,97.1,3.18,Weightlifting,59,0.0,128,176,9,625,10902,3076,489.0,376.3,60,40,Rest / Mobility,Intermediate Run,59
2024-01-26,30,98.0,74,6.02,82.9,63,36,53,57,4,44.4,15.2,97.2,2.72,Intermediate Run,59,6.87,150,184,7,543,13466,3360,506.7,429.0,58,47,Rest / Mobility,Weightlifting,71
2024-01-27,30,97.9,62,6.2,81.0,63,52,47,46,10,44.3,16.3,96.3,3.11,Weightlifting,71,0.0,102,133,7,623,12675,3188,597.0,448.3,54,37,Rest / Mobility,Recovery Walk,49
2024-01-28,30,98.2,86,7.03,73.2,59,46,78,47,4,44.3,15.8,96.8,3.35,Recovery Walk,49,3.72,91,115,2,80,10521,2560,415.3,389.4,71,67,Weightlifting,Recovery Walk,34
2024-01-29,30,97.8,98,7.91,91.5,57,59,99,35,6,44.3,14.1,96.7,3.27,Recovery Walk,34,3.21,101,128,2,57,10605,2497,253.3,395.7,81,80,Tempo Run,Weightlifting,70
2024-01-30,30,97.9,66,6.48,86.6,55,42,59,60,5,44.2,14.9,97.5,3.12,Weightlifting,70,0.0,118,152,7,601,12311,3411,246.0,411.6,61,53,Recovery Walk,Intermediate Run,41
2024-01-31,30,97.9,73,6.41,83.3,60,38,53,60,5,44.1,15.0,98.1,2.71,Intermediate Run,41,6.03,150,181,7,323,10168,2650,327.0,407.4,59,50,Recovery Walk,Weightlifting,63
2024-02-01,30,98.0,80,6.32,81.6,57,38,63,40,5,44.1,16.5,97.0,3.63,Weightlifting,63,0.0,116,160,8,532,11111,3106,485.3,394.1,66,51,Recovery Walk,Intermediate Run,45
2024-02-02,30,98.3,65,6.37,73.7,59,36,40,55,5,44.1,16.1,97.1,3.49,Intermediate Run,45,4.99,146,169,7,361,14819,2974,405.3,368.1,56,46,Rest / Mobility,Weightlifting,43
2024-02-03,30,98.2,81,6.99,73.3,57,31,76,75,6,44.0,15.3,96.9,3.35,Weightlifting,43,0.0,109,139,5,266,8121,2923,386.3,317.1,63,54,Recovery Walk,Intermediate Run,42
2024-02-04,30,98.3,80,6.84,78.2,57,38,74,63,5,43.9,16.0,96.3,2.93,Intermediate Run,42,5.09,145,168,7,330,10928,2691,319.0,352.9,66,57,Recovery Walk,Weightlifting,70
2024-02-05,30,98.1,65,5.45,70.4,59,35,61,50,8,43.8,15.3,97.1,2.48,Weightlifting,70,0.0,109,152,8,611,12134,3148,402.3,432.0,56,36,Rest / Mobility,Weightlifting,67
2024-02-06,30,98.1,78,6.9,72.9,62,25,57,63,7,43.9,15.3,97.2,3.28,Weightlifting,67,0.0,113,154,8,606,12402,3145,515.7,432.7,56,41,Rest / Mobility,Easy Run,51
2024-02-07,30,97.7,75,6.21,76.1,59,39,65,80,8,43.8,16.3,96.9,2.79,Easy Run,51,6.61,129,147,5,285,11940,2854,500.7,427.3,57,41,Rest / Mobility,Easy Run,37
2024-02-08,30,97.6,87,6.45,86.9,58,49,49,62,8,43.9,16.3,97.3,2.63,Easy Run,37,4.28,140,160,5,176,8200,2575,355.7,376.4,62,55,Recovery Walk,Tempo Run,37
2024-02-09,30,97.6,74,6.58,76.2,60,35,62,55,7,43.8,16.2,96.9,3.02,Tempo Run,37,5.1,163,189,7,299,13169,2999,253.3,367.6,59,51,Recovery Walk,Easy Run,32
2024-02-10,30,97.6,91,7.11,73.9,62,46,93,50,5,43.8,16.5,97.5,2.53,Easy Run,32,4.41,133,153,5,167,9486,2619,214.0,353.4,72,72,Intermediate Run,Long Run,68
2024-02-11,30,97.4,81,6.76,79.0,60,44,59,63,10,43.8,16.5,96.9,3.37,Long Run,68,8.86,132,153,7,557,11729,3720,341.0,385.9,59,45,Rest / Mobility,Rest / Mobility,34
2024-02-12,30,97.7,84,5.63,87.7,56,38,55,67,6,43.8,14.7,97.0,2.45,Rest / Mobility,34,0.0,81,99,2,14,8456,2581,246.0,300.6,61,54,Recovery Walk,Weightlifting,53
2024-02-13,30,97.7,71,6.29,70.0,58,48,78,71,7,43.8,17.0,97.2,2.76,Weightlifting,53,0.0,103,149,9,500,8201,2991,357.0,285.4,63,50,Recovery Walk,Intermediate Run,36
2024-02-14,30,97.3,77,6.12,75.8,57,37,65,60,9,43.8,16.2,97.7,1.97,Intermediate Run,36,4.8,146,180,7,281,10597,2687,265.0,284.9,59,47,Rest / Mobility,Easy Run,35
2024-02-15,30,97.3,91,6.01,72.9,61,52,82,52,6,43.8,15.0,97.5,3.32,Easy Run,35,3.92,128,156,4,142,9829,2403,307.7,280.0,70,69,Intermediate Run,Tempo Run,53
2024-02-16,30,97.5,67,6.24,84.3,60,47,53,64,5,43.7,15.5,96.9,3.22,Tempo Run,53,6.88,158,177,9,564,12658,3381,329.0,317.9,59,47,Rest / Mobility,Weightlifting,73
2024-02-17,30,97.5,89,7.02,72.1,54,56,75,57,7,43.7,15.6,97.7,3.29,Weightlifting,73,0.0,112,148,6,523,10014,2994,409.7,368.7,72,69,Intermediate Run,Long Run,75
2024-02-18,30,97.3,60,6.86,70.0,60,44,49,58,7,43.7,15.2,97.2,2.71,Long Run,75,8.13,143,164,8,779,13238,3669,622.0,400.4,55,40,Rest / Mobility,Rest / Mobility,22
2024-02-19,30,97.3,98,6.89,82.2,60,57,65,39,5,43.7,15.6,96.9,2.91,Rest / Mobility,22,0.0,72,91,1,12,5326,2488,438.0,400.1,73,69,Intermediate Run,Weightlifting,74
2024-02-20,30,97.3,62,5.93,71.7,61,35,78,67,8,43.8,16.0,96.8,2.85,Weightlifting,74,0.0,107,152,7,568,11056,3060,453.0,409.9,56,40,Rest / Mobility,Intermediate Run,37
2024-02-21,30,97.2,91,6.05,78.3,57,57,82,57,8,43.8,16.0,96.3,3.24,Intermediate Run,37,5.37,143,167,5,218,10329,2793,266.0,400.9,70,64,Weightlifting,Weightlifting,74
2024-02-22,30,97.2,68,6.54,71.8,60,47,68,67,8,43.8,14.7,97.3,3.13,Weightlifting,74,0.0,123,161,9,881,11700,3585,555.7,506.4,59,38,Rest / Mobility,Recovery Walk,63
2024-02-23,30,97.2,90,7.02,78.3,59,43,83,53,7,43.8,15.4,97.0,2.74,Recovery Walk,63,4.42,101,120,4,209,10122,2699,436.0,455.7,69,65,Weightlifting,Weightlifting,48
2024-02-24,30,97.5,90,6.59,76.3,59,51,59,62,9,44.0,16.2,96.9,3.18,Weightlifting,48,0.0,109,141,5,301,11086,2699,463.7,424.0,63,54,Recovery Walk,Intermediate Run,44
2024-02-25,30,97.8,85,7.49,86.4,58,40,57,48,5,43.9,15.6,97.2,2.63,Intermediate Run,44,5.9,149,174,5,280,10604,2706,263.3,352.7,66,65,Weightlifting,Weightlifting,71
2024-02-26,30,97.7,70,6.41,81.9,59,44,63,63,10,43.8,15.3,96.8,2.68,Weightlifting,71,0.0,109,139,5,431,12716,3059,337.3,412.6,57,43,Rest / Mobility,Easy Run,30
2024-02-27,30,97.8,83,6.13,74.3,57,47,71,48,9,43.8,15.3,96.9,3.78,Easy Run,30,3.6,130,158,5,142,11276,2708,284.3,351.7,65,52,Recovery Walk,Intermediate Run,57
2024-02-28,30,97.7,66,6.34,74.5,57,42,73,56,7,43.7,16.3,98.4,2.89,Intermediate Run,57,7.25,138,159,5,385,12935,3186,319.3,375.6,62,53,Recovery Walk,Weightlifting,49
2024-02-29,30,97.7,82,7.46,81.4,60,51,76,61,9,43.7,16.4,97.4,3.56,Weightlifting,49,0.0,119,148,7,405,10917,2989,310.7,307.6,65,52,Recovery Walk,Intermediate Run,39
2024-03-01,30,97.7,81,6.64,76.5,61,44,67,47,8,43.7,16.8,97.0,3.13,Intermediate Run,39,4.36,143,177,5,259,12062,2608,349.7,314.7,63,49,Recovery Walk,Weightlifting,55
2024-03-02,30,97.6,80,6.84,81.5,58,44,77,49,8,43.7,16.3,96.4,2.9,Weightlifting,55,0.0,123,154,7,479,12067,3004,381.0,340.1,66,51,Recovery Walk,Recovery Ride,61
2024-03-03,30,97.8,74,6.38,87.9,54,46,56,51,8,43.7,15.3,96.5,2.99,Recovery Ride,61,25.35,122,143,3,200,12563,2799,312.7,328.7,62,49,Recovery Walk,Recovery Ride,36
2024-03-04,30,97.9,72,5.85,70.9,58,44,57,66,5,43.7,15.6,97.7,3.41,Recovery Ride,36,10.1,128,158,4,151,8440,2809,276.7,288.7,60,53,Recovery Walk,Easy Run,38
2024-03-05,30,97.8,88,6.79,85.1,60,42,87,52,9,43.8,14.8,97.2,3.14,Easy Run,38,4.36,129,153,4,175,11213,2677,175.3,293.4,67,63,Weightlifting,Intermediate Run,42
2024-03-06,30,98.1,56,5.4,76.2,55,48,55,69,5,43.8,15.6,96.5,2.88,Intermediate Run,42,4.96,151,179,6,298,10086,2708,208.0,281.0,58,52,Recovery Walk,Easy Run,37
2024-03-07,30,98.3,79,6.55,70.0,57,34,63,76,8,43.8,15.9,97.8,2.95,Easy Run,37,4.1,132,156,5,181,10179,2625,218.0,249.0,58,47,Rest / Mobility,Intermediate Run,59
2024-03-08,30,98.2,83,6.66,83.0,61,38,82,61,10,43.8,16.6,97.2,2.66,Intermediate Run,59,7.15,148,176,6,447,11538,3099,308.7,275.9,61,48,Recovery Walk,Recovery Ride,36
2024-03-09,30,97.9,84,6.98,75.6,63,56,74,58,7,43.8,15.1,97.0,3.36,Recovery Ride,36,9.71,126,146,5,196,8175,2679,274.7,235.4,66,59,Weightlifting,Intermediate Run,38
2024-03-10,30,98.0,75,7.56,72.4,59,51,79,52,8,43.7,15.5,97.6,2.89,Intermediate Run,38,5.09,142,174,6,276,11306,2656,306.3,246.3,66,54,Recovery Walk,Easy Run,42
2024-03-11,30,97.5,84,6.1,80.5,59,38,63,62,9,43.8,15.4,97.5,3.09,Easy Run,42,5.75,132,154,4,186,12641,2827,219.3,251.3,60,49,Recovery Walk,Weightlifting,74
2024-03-12,30,97.2,78,5.82,72.0,58,45,64,68,8,43.7,16.2,96.9,2.7,Weightlifting,74,0.0,123,174,6,501,9702,3125,321.0,297.9,60,47,Rest / Mobility,Intermediate Run,56
2024-03-13,30,97.2,71,6.25,76.8,63,45,63,71,7,43.7,15.5,97.1,2.81,Intermediate Run,56,8.22,147,172,7,511,13860,3153,399.3,328.3,57,47,Rest / Mobility,Easy Run,39
2024-03-14,30,97.3,67,6.4,78.9,61,45,66,34,10,43.6,16.2,96.6,3.1,Easy Run,39,4.88,139,162,5,216,10677,2755,409.3,333.3,59,44,Rest / Mobility,Tempo Run,41
2024-03-15,30,97.5,81,6.34,79.6,60,44,71,82,7,43.6,16.2,97.7,2.97,Tempo Run,41,5.61,156,184,9,507,10036,3422,411.3,341.9,61,47,Rest / Mobility,Weightlifting,59
2024-03-16,30,97.7,72,6.06,80.0,58,45,63,66,10,43.5,15.5,97.6,3.31,Weightlifting,59,0.0,114,159,5,325,9143,3101,349.3,360.3,57,43,Rest / Mobility,Intermediate Run,60
2024-03-17,30,97.3,78,6.53,85.4,59,41,65,50,5,43.4,15.2,96.6,3.46,Intermediate Run,60,7.99,148,173,6,427,13116,3088,419.7,381.9,64,53,Recovery Walk,Rest / Mobility,36
2024-03-18,30,97.5,98,7.28,78.7,58,49,61,66,3,43.5,15.7,98.5,2.32,Rest / Mobility,36,0.0,87,111,1,12,6972,2659,254.7,357.0,71,71,Intermediate Run,Weightlifting,58
2024-03-19,30,97.8,77,6.86,79.9,58,36,61,43,8,43.5,15.0,97.2,2.8,Weightlifting,58,0.0,117,167,9,598,11143,3246,345.7,370.9,61,43,Rest / Mobility,Easy Run,51
2024-03-20,30,97.8,82,6.96,73.6,60,35,69,46,6,43.5,14.8,97.3,3.01,Easy Run,51,6.08,132,152,4,186,9750,2605,265.3,324.4,64,57,Recovery Walk,Weightlifting,44
2024-03-21,30,97.7,77,6.51,76.4,60,43,64,54,7,43.4,16.6,96.5,2.66,Weightlifting,44,0.0,116,157,9,432,9508,3060,405.3,355.3,62,48,Recovery Walk,Tempo Run,50
2024-03-22,30,97.7,80,7.13,75.1,57,59,54,60,8,43.4,15.5,97.1,3.04,Tempo Run,50,6.8,152,180,9,512,12623,3225,376.7,356.0,64,45,Rest / Mobility,Easy Run,54
2024-03-23,30,97.7,76,6.38,71.7,64,36,79,76,6,43.3,16.5,96.9,3.35,Easy Run,54,6.63,131,161,6,341,13046,3150,428.3,358.3,59,48,Recovery Walk,Intermediate Run,42
2024-03-24,30,98.0,72,6.02,78.7,59,30,63,70,4,43.3,16.3,96.5,3.03,Intermediate Run,42,6.16,139,166,5,272,9652,2660,375.0,336.1,59,50,Recovery Walk,Rest / Mobility,37
2024-03-25,30,98.1,97,6.97,81.7,54,51,70,48,4,43.3,15.9,97.8,2.64,Rest / Mobility,37,0.0,82,106,2,29,7798,2478,214.0,338.6,75,75,Intermediate Run,Weightlifting,72
2024-03-26,30,97.8,76,6.52,90.1,59,40,64,59,9,43.3,15.2,96.5,3.48,Weightlifting,72,0.0,114,160,8,757,11240,3530,352.7,361.3,59,41,Rest / Mobility,Easy Run,45
2024-03-27,30,98.0,85,6.65,91.0,60,43,69,68,6,43.3,15.8,96.8,2.99,Easy Run,45,5.56,133,164,6,265,9800,2495,350.3,372.6,64,62,Weightlifting,Recovery Ride,50
2024-03-28,30,97.8,80,5.98,79.1,61,47,67,69,9,43.3,15.6,96.5,3.35,Recovery Ride,50,14.83,120,149,4,181,8843,2777,401.0,336.7,59,44,Rest / Mobility,Intermediate Run,52
2024-03-29,30,98.0,78,6.47,81.1,60,43,45,52,7,43.3,16.0,97.9,2.48,Intermediate Run,52,5.89,140,163,6,396,10988,2897,280.7,320.1,59,51,Recovery Walk,Weightlifting,44
2024-03-30,30,97.5,76,6.5,75.4,58,44,65,60,8,43.4,16.2,96.4,3.57,Weightlifting,44,0.0,115,156,7,359,11028,2848,312.0,322.7,61,48,Recovery Walk,Intermediate Run,41
2024-03-31,30,97.6,77,6.05,70.0,60,38,38,57,7,43.4,15.7,97.1,2.38,Intermediate Run,41,5.88,144,178,7,383,9144,2804,379.3,338.6,56,46,Rest / Mobility,Rest / Mobility,38
2024-04-01,30,97.5,82,6.49,80.1,56,40,69,70,4,43.5,16.2,97.1,2.34,Rest / Mobility,38,0.0,84,103,1,21,7562,2628,254.3,337.4,66,59,Weightlifting,Weightlifting,64
2024-04-02,30,97.4,87,6.81,76.1,57,48,75,70,10,43.6,15.2,97.4,3.16,Weightlifting,64,0.0,127,169,9,717,10213,3512,373.7,331.7,64,46,Rest / Mobility,Intermediate Run,54
2024-04-03,30,97.1,70,6.54,71.8,61,37,48,65,9,43.7,16.2,96.7,3.15,Intermediate Run,54,7.88,145,168,6,388,12053,2883,375.3,349.3,53,38,Rest / Mobility,Weightlifting,61
2024-04-04,30,97.3,82,7.17,81.3,63,37,77,57,8,43.7,15.9,97.4,3.68,Weightlifting,61,0.0,123,172,8,585,10297,3123,563.3,407.0,62,42,Rest / Mobility,Easy Run,34
2024-04-05,30,97.3,71,5.36,88.8,58,40,62,73,8,43.8,15.5,97.3,2.7,Easy Run,34,4.74,126,158,5,183,9182,2477,385.3,376.6,56,41,Rest / Mobility,Weightlifting,45
2024-04-06,30,97.6,85,7.05,84.4,56,45,64,52,9,43.8,15.6,97.3,3.58,Weightlifting,45,0.0,122,163,6,338,9914,2907,368.7,373.6,65,57,Recovery Walk,Intermediate Run,43
2024-04-07,30,97.9,79,5.72,82.3,61,48,64,53,6,43.8,15.3,97.4,2.6,Intermediate Run,43,5.38,141,168,6,304,14077,2842,275.0,362.3,63,55,Recovery Walk,Recovery Ride,61
2024-04-08,30,97.8,84,7.1,75.5,59,36,76,56,7,43.9,15.4,97.5,2.59,Recovery Ride,61,17.87,120,145,3,189,9249,2850,277.0,386.3,65,57,Recovery Walk,Weightlifting,62
2024-04-09,30,98.2,66,6.95,71.4,55,52,50,81,7,44.0,16.5,98.1,3.21,Weightlifting,62,0.0,108,157,5,389,10290,3011,294.0,339.4,58,50,Recovery Walk,Intermediate Run,59
2024-04-10,30,98.2,74,6.87,75.7,59,41,57,64,8,43.9,16.4,96.6,2.93,Intermediate Run,59,6.56,141,164,5,363,13543,3010,313.7,335.9,58,45,Rest / Mobility,Weightlifting,70
2024-04-11,30,98.5,75,6.37,86.1,56,57,74,66,7,44.0,15.4,97.7,2.81,Weightlifting,70,0.0,123,154,9,803,9210,3402,518.3,367.0,66,51,Recovery Walk,Tempo Run,43
2024-04-12,30,98.8,75,6.52,70.0,58,39,46,65,6,44.1,14.1,97.1,2.49,Tempo Run,43,6.48,152,179,9,538,10368,3100,568.0,417.7,58,43,Rest / Mobility,Weightlifting,50
2024-04-13,30,99.0,80,6.95,73.5,60,52,65,56,6,44.0,15.5,97.3,2.86,Weightlifting,50,0.0,111,142,9,460,9201,2891,600.3,435.1,65,50,Recovery Walk,Intermediate Run,56
2024-04-14,30,98.8,60,6.68,74.8,61,48,48,60,8,44.0,15.3,97.5,2.35,Intermediate Run,56,8.19,144,170,7,447,13851,2961,481.7,455.6,54,37,Rest / Mobility,Easy Run,50
2024-04-15,30,98.8,85,6.42,70.4,57,36,72,71,5,44.0,15.9,97.5,2.92,Easy Run,50,5.86,135,166,6,324,9922,2897,410.3,474.9,65,61,Weightlifting,Weightlifting,42
2024-04-16,30,99.0,74,5.85,70.0,61,25,51,69,10,43.9,15.2,97.0,3.16,Weightlifting,42,0.0,113,158,8,408,8076,2871,393.0,477.6,50,30,Rest / Mobility,Intermediate Run,55
2024-04-17,30,99.0,87,5.92,79.1,59,40,69,49,8,43.8,15.5,98.7,2.87,Intermediate Run,55,6.8,151,177,6,357,11015,2848,363.0,476.7,64,56,Recovery Walk,Weightlifting,69
2024-04-18,30,98.8,78,6.5,71.3,57,57,75,56,10,43.7,16.1,97.4,3.17,Weightlifting,69,0.0,124,156,8,598,10853,3359,454.3,447.4,65,44,Rest / Mobility,Tempo Run,55
2024-04-19,30,98.8,74,6.22,73.7,63,34,62,74,7,43.7,15.0,97.3,3.06,Tempo Run,55,7.19,162,188,8,556,13210,3295,503.7,450.0,55,39,Rest / Mobility,Recovery Ride,52
2024-04-20,30,98.8,87,7.01,80.1,58,45,69,59,9,43.5,16.3,97.8,2.8,Recovery Ride,52,15.85,125,144,4,222,11344,3074,458.7,416.0,64,55,Recovery Walk,Intermediate Run,49
2024-04-21,30,99.0,76,6.68,73.5,60,47,61,56,6,43.6,16.5,97.0,2.58,Intermediate Run,49,6.51,148,174,6,324,10735,2990,367.3,398.4,63,53,Recovery Walk,Easy Run,45
2024-04-22,30,98.9,75,6.66,78.4,59,33,74,55,7,43.7,15.5,97.4,3.0,Easy Run,45,5.24,134,157,5,261,12322,2698,269.0,389.4,62,54,Recovery Walk,Weightlifting,57
2024-04-23,30,99.0,72,7.51,73.5,60,44,63,61,9,43.8,15.9,97.0,3.54,Weightlifting,57,0.0,119,147,9,661,8729,3209,415.3,425.6,59,39,Rest / Mobility,Intermediate Run,58
2024-04-24,30,99.0,66,7.05,77.9,60,38,54,60,7,43.8,15.4,97.4,3.15,Intermediate Run,58,7.32,146,178,5,363,12070,2815,428.3,426.4,56,45,Rest / Mobility,Weightlifting,71
2024-04-25,30,98.8,86,7.04,75.8,59,57,69,54,8,43.7,16.1,96.3,3.04,Weightlifting,71,0.0,116,144,5,388,12273,2933,470.7,396.4,67,58,Easy Run,Tempo Run,42
2024-04-26,30,98.9,76,6.38,77.7,61,35,65,69,8,43.6,16.2,95.8,2.97,Tempo Run,42,5.55,158,182,8,437,12010,3342,396.0,379.4,57,38,Rest / Mobility,Weightlifting,75
2024-04-27,30,99.0,84,7.45,77.8,62,53,86,63,8,43.6,15.5,96.7,2.59,Weightlifting,75,0.0,112,151,8,654,9678,3374,493.0,441.1,67,46,Rest / Mobility,Intermediate Run,38
2024-04-28,30,99.0,79,6.71,87.0,59,36,52,53,7,43.5,15.2,96.4,2.75,Intermediate Run,38,5.28,143,164,7,328,10677,2827,473.0,441.7,60,48,Recovery Walk,Easy Run,36
2024-04-29,30,98.9,71,5.64,77.0,59,53,40,65,7,43.4,15.7,96.7,3.13,Easy Run,36,4.19,141,163,6,232,11272,2670,404.7,437.6,57,46,Rest / Mobility,Weightlifting,58
2024-04-30,30,98.9,78,7.49,78.2,55,28,49,59,9,43.5,16.1,96.9,2.6,Weightlifting,58,0.0,105,139,7,437,11721,3001,332.3,405.6,57,43,Rest / Mobility,Intermediate Run,35
2024-05-01,30,98.7,71,5.95,70.0,58,34,58,63,6,43.6,15.7,97.3,2.67,Intermediate Run,35,4.84,140,164,5,232,11351,2621,300.3,386.9,58,49,Recovery Walk,Weightlifting,48
2024-05-02,30,98.4,87,6.83,79.7,59,37,75,48,8,43.6,15.5,97.1,3.14,Weightlifting,48,0.0,122,174,8,402,9461,2900,357.0,388.9,65,46,Rest / Mobility,Intermediate Run,44
2024-05-03,30,98.7,72,5.87,84.8,61,46,53,79,5,43.6,16.2,96.8,3.22,Intermediate Run,44,5.67,145,170,5,298,11151,2795,310.7,369.0,57,48,Recovery Walk,Weightlifting,70
2024-05-04,30,98.7,80,6.62,82.6,55,53,50,69,9,43.5,15.4,96.6,2.77,Weightlifting,70,0.0,105,135,8,645,11796,3301,448.3,367.7,61,41,Rest / Mobility,Long Run,58
2024-05-05,30,98.6,81,7.46,75.7,55,36,77,71,5,43.5,15.6,97.3,2.69,Long Run,58,6.11,141,160,6,400,13165,3373,447.7,378.0,67,56,Recovery Walk,Weightlifting,54
2024-05-06,30,98.5,74,6.74,78.5,58,42,58,56,10,43.6,15.5,97.5,3.1,Weightlifting,54,0.0,126,170,8,502,9521,3028,515.7,416.6,58,38,Rest / Mobility,Weightlifting,67
2024-05-07,30,98.4,64,6.69,70.6,56,43,71,79,9,43.5,14.6,96.9,3.33,Weightlifting,67,0.0,111,157,9,623,11638,3216,508.3,443.1,57,36,Rest / Mobility,Recovery Ride,41
